Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,91,,NZ Dollars (millions),12,23.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,89,,NZ Dollars (millions),12,51.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2020,99,,NZ Dollars (millions),12,30.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2022,94,P,NZ Dollars (millions),12,40.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,B_Mining,2016,5,,NZ Dollars (millions),3 and 12,38.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,B_Mining,2018,9,,NZ Dollars (millions),3 and 12,177.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,B_Mining,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,B_Mining,2020,2,,NZ Dollars (millions),3 and 12,62.6
_01_Total_RD_Expenditure,ANZSIC_1_Digit,B_Mining,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,B_Mining,2022,4,P,NZ Dollars (millions),3 and 12,106.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,C_Manufacturing,2016,671,,NZ Dollars (millions),12,8.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,C_Manufacturing,2018,673,,NZ Dollars (millions),12,10
_01_Total_RD_Expenditure,ANZSIC_1_Digit,C_Manufacturing,2019,...,,NZ Dollars (millions),12,...
